CGCG_454-071|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2325.9+1935:S:UBVR:f2000.fits.gz']
UGC_01327|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0149.0+3018:S:UBVR:f2000.fits.gz']
CGCG_484-013|[]
UGC_02446|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0256.0+0314:S:UBVR:f2000.fits.gz']
IC_1899|[]
CGCG_337-010|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/14/CGCG_1421.8+6950:S:UBVR:f2000.fits.gz']
NGC_6168|[]
CGCG_027-001|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1730.5+0145:S:UBVR:f2000.fits.gz']
CGCG_255-003|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_1829.3+4816:S:UBVR:f2000.fits.gz']
ESO_187-_G_027|[]
2MASX_J21433563+1400531|[]
ESO_408-_G_037|[]
MCG_-06-01-019|[]
UGC_02361|[]
NGC_2576|[]
UGC_04465|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/08/CGCG_0830.0+4126:S:UBVR:f2000.fits.gz']
2MASX_J14275306-1359250|[]
UGC_11593_NED02|[]
WKK_2165|[]
PKS_2148-555|[]
UGC_12018|[]
NGC_7781|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/23/CGCG_2351.2+0735:S:UBVR:f2000.fits.gz']
UGC_10654|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1658.6+2948:S:UBVR:f2000.fits.gz']
UGC_12857|[]
CGCG_539-050|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0231.3+4056:S:UBVR:f2000.fits.gz']
UGC_09103_NOTES02|[]
UGC_09544|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/14/CGCG_1447.3+2535:S:UBVR:f2000.fits.gz']
NGC_6358|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1717.8+5240:S:UBVR:f2000.fits.gz']
CGCG_202-005|[]
NGC_7387|[]
IC_5276|[]
ESO_306-_G_004|[]
IC_2191|[]
UGC_11213|[]
NGC_6677|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/18/CGCG_1833.7+6704:S:UBVR:f2000.fits.gz']
2MASX_J20371771+2531377|[]
ESO_252-_G_004|[]
CGCG_308-015|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0610.6+6651:S:UBVR:f2000.fits.gz']
UGC_09239|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/14/CGCG_1422.8+1358:S:UBVR:f2000.fits.gz']
NGC_6466|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1747.0+5126:S:UBVR:f2000.fits.gz']
CGCG_424-030|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/20/CGCG_2035.8+1033:S:UBVR:f2000.fits.gz']
NGC_7685|[]
IC_4290|[]
WKK_4086|[]
CGCG_280-015|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1907.3+5210:S:UBVR:f2000.fits.gz']
CGCG_280-021|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1914.0+5127:S:UBVR:f2000.fits.gz']
NGC_7303|[]
NGC_0900|[]
UGC_02444|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0255.8+0606:S:UBVR:f2000.fits.gz']
2MASX_J04214748-5323566|[]
CGCG_419-017|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0429.3+0640:S:UBVR:f2000.fits.gz']
ESO_263-_G_021|[]
NGC_4898_NED01|[]
UGC_09376|[]
NGC_5961|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1533.2+3101:S:UBVR:f2000.fits.gz']
UGC_11132|[]
CGCG_501-067|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/00/CGCG_0059.1+2953:S:UBVR:f2000.fits.gz']
UGC_02092|[]
UGC_02554|[]
UGC_02830|[]
2MASX_J05235899+2128531|[]
ESO_500-_G_022|[]
CGCG_254-008|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/17/CGCG_1759.3+4813:S:UBVR:f2000.fits.gz']
IC_1549|[]
UGC_01422|[]
CGCG_487-001|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/03/CGCG_0352.1+2727:S:UBVR:f2000.fits.gz']
ESO_158-_G_017|[]
IC_0658|[]
ESO_105-_G_009|[]
ESO_466-_G_018|[]
CGCG_540-045|[]
NGC_1418|[]
WKK_6190|[]
CGCG_438-042|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0209.3+1521:S:UBVR:f2000.fits.gz']
ESO_119-_G_013|[]
NGC_6571|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/18/CGCG_1808.7+2114:S:UBVR:f2000.fits.gz']
CGCG_427-028|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/21/CGCG_2148.4+1351:S:UBVR:f2000.fits.gz']
UGC_03780|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/07/CGCG_0714.2+3410:S:UBVR:f2000.fits.gz']
VII_Zw_274|[]
CGCG_163-009|[]
UGC_11753|[]
CGCG_427-035_NED02|[]
2MASX_J02555540+4134562|[]
UGC_02722|[]
UGC_03640|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0659.5+3712:S:UBVR:f2000.fits.gz']
NGC_4950|[]
UGC_10512|[]
WKK_7657|[]
UGC_00632|[]
UGC_02277|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0245.6+4029:S:UBVR:f2000.fits.gz']
NGC_1368|[]
