('35.63711 +42.34832', 'does not match.')
('253.19304 -59.21694', 'does not match.')
('180.47154 -18.87720', 'does not match.')
('119.56254 -49.85141', 'does not match.')
('176.52693 -56.39111', 'does not match.')
('166.95212 -46.52607', 'does not match.')
('228.55595 -46.80920', 'does not match.')
('195.98743 -11.49658', 'does not match.')
('21.14613 +3.79241', 'does not match.')
('198.58429 -46.12486', 'does not match.')
('36.45925 +18.49900', 'does not match.')
('214.54398 -48.01007', 'does not match.')
('334.21899 +40.50461', 'does not match.')
('240.89825 -60.15027', 'does not match.')
('144.63959 -61.73849', 'does not match.')
('313.00681 -69.19331', 'does not match.')
('248.04597 -28.09203', 'does not match.')
('338.99130 +33.96563', 'does not match.')
('44.92850 +25.24116', 'does not match.')
('109.01704 +64.71144', 'does not match.')
('266.78830 -64.63870', 'does not match.')
('169.86806 -52.37164', 'does not match.')
('298.51028 +49.93785', 'does not match.')
('107.92250 +49.86194', 'does not match.')
('253.46756 +39.76019', 'does not match.')
('84.13493 +16.64138', 'does not match.')
('192.60051 -40.84406', 'does not match.')
('179.04353 +60.52499', 'does not match.')
('299.05533 -56.91088', 'does not match.')
('198.59880 -46.11149', 'does not match.')
('50.21587 +38.25396', 'does not match.')
('73.29381 +34.38468', 'does not match.')
('269.89282 +24.88696', 'does not match.')
('233.64651 +15.19837', 'does not match.')
('12.76885 -7.06564', 'does not match.')
('186.49567 +3.42732', 'does not match.')
('198.04916 +44.03802', 'does not match.')
('68.62046 +73.20483', 'does not match.')
('204.96796 +0.83959', 'does not match.')
('204.06407 +38.34299', 'does not match.')
('273.02310 +29.15589', 'does not match.')
('162.05811 -53.30164', 'does not match.')
('253.20181 -58.94614', 'does not match.')
('30.24208 +46.14169', 'does not match.')
('286.73788 +50.34788', 'does not match.')
('193.75522 -40.97074', 'does not match.')
('260.77945 -18.82854', 'does not match.')
('358.50485 +47.48952', 'does not match.')
('340.57666 -30.05533', 'does not match.')
('95.04860 +66.58498', 'does not match.')
('204.04439 -56.53991', 'does not match.')
('48.12000 +42.70210', 'does not match.')
('294.67914 -29.80437', 'does not match.')
('39.86527 +41.49332', 'does not match.')
('185.90501 +17.53758', 'does not match.')
('270.60291 +26.04333', 'does not match.')
('254.18703 -62.40311', 'does not match.')
('13.69481 +28.71677', 'does not match.')
('191.90527 -53.55005', 'does not match.')
('260.03714 -60.15863', 'does not match.')
('160.49231 -36.93546', 'does not match.')
('199.07126 +25.40656', 'does not match.')
('197.63835 -46.99601', 'does not match.')
('48.27784 +28.63489', 'does not match.')
('113.28941 +19.19943', 'does not match.')
('108.47553 +50.39877', 'does not match.')
('173.43094 +32.63607', 'does not match.')
('210.63995 +14.55083', 'does not match.')
('240.97485 +25.01148', 'does not match.')
('233.14616 +83.07875', 'does not match.')
('150.66116 -45.49833', 'does not match.')
('179.73712 +30.41361', 'does not match.')
('308.76947 +1.93927', 'does not match.')
('153.67419 -44.85438', 'does not match.')
('47.22824 +41.46693', 'does not match.')
('168.28226 -69.26171', 'does not match.')
('168.48628 +12.30256', 'does not match.')
('38.05933 +9.72019', 'does not match.')
('280.11508 +23.80541', 'does not match.')
('268.06354 -60.74348', 'does not match.')
('331.40561 +44.83777', 'does not match.')
('225.20140 -51.73902', 'does not match.')
('164.85791 +46.12360', 'does not match.')
('20.82973 +33.27757', 'does not match.')
('164.61601 +24.37338', 'does not match.')
('121.66561 +73.34357', 'does not match.')
('336.33813 -31.35566', 'does not match.')
('105.76517 +18.48724', 'does not match.')
('216.79175 +35.92077', 'does not match.')
('146.13724 -31.79193', 'does not match.')
('216.62743 -54.36800', 'does not match.')
('212.22964 -26.94907', 'does not match.')
('267.07401 +34.10186', 'does not match.')
('326.65411 +8.29245', 'does not match.')
('150.31403 +70.98558', 'does not match.')
('229.82971 -41.23313', 'does not match.')
('87.22076 -25.63480', 'does not match.')
