1799|248.16333 +78.19817           | 0.0|NGC 6217                      |16h32m39.20s|+78d11m53.4s|G     |  0.004543|H II                                    
2104|192.06282 +10.98362           | 0.1|NGC 4694                      |12h48m15.08s|+10d59m01.0s|G     |  0.003869|H II                                    
2299|308.77884 +64.80280           | 0.0|NGC 6949                      |20h35m06.92s|+64d48m10.1s|G     |  0.009210|H II                                    
2396|352.11624 +22.42120           | 0.0|NGC 7678                      |23h28m27.90s|+22d25m16.3s|G     |  0.011639|H II                                    
2404|123.31101 +45.98979           | 0.1|NGC 2537                      |08h13m14.64s|+45d59m23.3s|G     |  0.001438|H II                                    
2676|194.43719 -29.76635           | 0.8|ESO 443- G 017                |12h57m44.92s|-29d45m58.1s|G     |  0.010190|H II                                    
2931|287.06821 +50.93314           | 0.3|NGC 6764                      |19h08m16.37s|+50d55m59.6s|G     |  0.008059|H II                                    
2991|228.84715 +55.51716           | 0.7|NGC 5905                      |15h15m23.32s|+55d31m02.5s|G     |  0.011308|H II                                    
3368|148.03404 +29.23623           | 0.2|NGC 3032                      |09h52m08.15s|+29d14m10.4s|G     |  0.005210|H II                                    
4062|173.95497 +54.52357           | 3.7|NGC 3738                      |11h35m48.79s|+54d31m26.0s|G     |  0.000764|H II                                    
4469|264.20340 +72.08896           | 0.0|NGC 6434                      |17h36m48.82s|+72d05m20.3s|G     |  0.008282|H II                                    
6818|345.51440 +27.05259           | 0.4|NGC 7466                      |23h02m03.43s|+27d03m09.5s|G     |  0.025044|H II                                    
7063|256.14136 +72.44654           | 0.6|UGC 10713                     |17h04m34.02s|+72d26m47.9s|G     |  0.003592|H II                                    
7434|19.82547 +4.57804             | 0.1|MRK 0567                      |01h19m18.11s|+04d34m41.0s|G     |  0.033116|H II                                    
7527|214.49457 +26.41260           | 0.3|IC 4397                       |14h17m58.72s|+26d24m45.2s|G     |  0.014744|H II                                    
9968|254.78607 +28.99199           | 1.1|UGC 10639                     |16h59m08.57s|+28d59m31.0s|G     |  0.032569|H II                                    
11470|160.96913 -1.29449            | 0.3|UGC 05849                     |10h43m52.59s|-01d17m40.5s|G     |  0.026045|H II                                    
12618|356.00476 +27.71555           | 0.6|MRK 1133                      |23h44m01.10s|+27d42m56.1s|G     |  0.024800|H II                                    
14228|358.32812 +3.71786            | 0.3|UM 011                        |23h53m18.76s|+03d43m04.4s|G     |  0.038947|H II                                    
14264|357.17383 +2.23975            | 0.0|KUG 2346+019A                 |23h48m41.72s|+02d14m23.1s|G     |  0.030668|H II                                    
14653|121.77300 +27.12603           | 0.2|MRK 1212                      |08h07m05.54s|+27d07m33.8s|G     |  0.041392|H II                                    
