273|187.70593 +12.39110           | 0.1|MESSIER 087                   |12h30m49.42s|+12d23m28.0s|G     |  0.004283|LINER                                   
300|170.06261 +12.99129           | 1.3|MESSIER 066                   |11h20m14.96s|+12d59m29.5s|G     |  0.002425|LINER                                   
402|140.51106 +50.97648           | 0.2|NGC 2841                      |09h22m02.63s|+50d58m35.5s|G     |  0.002128|LINER                                   
446|41.57941 -30.27491            | 0.1|NGC 1097                      |02h46m19.05s|-30d16m29.6s|G     |  0.004240|LINER b                                 
466|197.73463 +37.05894           | 1.4|NGC 5005                      |13h10m56.23s|+37d03m33.1s|G     |  0.003156|LINER b                                 
487|190.70778 +2.68778            | 0.6|NGC 4636                      |12h42m49.83s|+02d41m16.0s|G     |  0.003129|LINER b                                 
548|331.96841 +31.35915           | 0.8|NGC 7217                      |22h07m52.39s|+31d21m33.6s|G     |  0.003176|LINER                                   
584|114.09934 -69.53082           | 0.0|NGC 2442                      |07h36m23.84s|-69d31m51.0s|G     |  0.004890|LINER                                   
585|183.45122 +14.90047           | 0.5|MESSIER 098                   |12h13m48.29s|+14d54m01.2s|G     | -0.000474|LINER                                   
599|184.96111 +29.61470           | 1.3|NGC 4274                      |12h19m50.59s|+29d36m52.1s|G     |  0.003102|LINER                                   
615|133.90721 +78.22308           | 0.0|NGC 2655                      |08h55m37.73s|+78d13m23.1s|G     |  0.004670|LINER                                   
647|187.12347 +17.08495           | 0.0|NGC 4450                      |12h28m29.63s|+17d05m05.8s|G     |  0.006518|LINER b                                 
703|192.20532 -41.31109           | 1.0|NGC 4696                      |12h48m49.25s|-41d18m39.0s|G     |  0.009867|LINER                                   
704|139.82732 +69.20334           | 0.4|NGC 2787                      |09h19m18.60s|+69d12m11.7s|G     |  0.002322|LINER b                                 
715|                              | 0.4|MESSIER 091                   |12h35m26.45s|+14d29m46.8s|G     |  0.001621|LINER                                   
737|                              | 1.2|NGC 4438                      |12h27m45.59s|+13d00m31.8s|G     |  0.000237|LINER b                                 
744|184.84692 +5.82471            | 1.9|NGC 4261                      |12h19m23.22s|+05d49m30.8s|G     |  0.007378|LINER h                                 
868|183.77098 +33.19728           | 0.3|NGC 4203                      |12h15m05.06s|+33d11m50.4s|G     |  0.003623|LINER b                                 
900|133.38644 +51.31358           | 0.3|NGC 2681                      |08h53m32.74s|+51d18m49.2s|G     |  0.002308|LINER b                                 
920|180.36205 +61.89570           | 1.0|NGC 4036                      |12h01m26.75s|+61d53m44.8s|G     |  0.004620|LINER b                                 
970|17.36280 +35.71796            | 0.9|NGC 0404                      |01h09m27.02s|+35d43m05.3s|G     | -0.000160|LINER                                   
1085|181.59631 +52.71095           | 1.2|NGC 4102                      |12h06m22.99s|+52d42m39.9s|G     |  0.002823|LINER                                   
1134|182.40031 +42.53419           | 0.1|NGC 4143                      |12h09m36.06s|+42d32m03.0s|G     |  0.003156|LINER b                                 
