1374|165.79671 +27.97250           | 0.0|NGC 3504                      |11h03m11.21s|+27d58m21.0s|G     |  0.005087|Starburst                               
1762|159.64003 -7.17073            | 0.7|IC 0630                       |10h38m33.61s|-07d10m13.9s|G     |  0.007277|Starburst                               
1917|2.47255 +25.92379             | 0.1|NGC 0023                      |00h09m53.41s|+25d55m25.6s|G     |  0.015231|Starburst                               
1975|138.52133 +40.11375           | 0.2|NGC 2782                      |09h14m05.11s|+40d06m49.3s|G     |  0.008483|Starburst                               
2027|39.20672 +33.32726            | 0.1|NGC 0987                      |02h36m49.61s|+33d19m38.1s|G     |  0.015124|Starburst                               
2028|186.15082 +39.38300           | 0.0|NGC 4369                      |12h24m36.20s|+39d22m58.8s|G     |  0.003486|Starburst                               
2142|                              | 0.3|NGC 4123                      |12h08m11.11s|+02d52m41.8s|G     |  0.004426|Starburst                               
2327|73.65974 +3.26797             | 0.0|NGC 1691                      |04h54m38.34s|+03d16m04.7s|G     |  0.015281|Starburst                               
2346|77.94227 +5.20061             | 0.1|NGC 1819                      |05h11m46.14s|+05d12m02.2s|G     |  0.014910|Starburst                               
2623|359.85626 +20.74985           | 0.1|NGC 7798                      |23h59m25.50s|+20d44m59.5s|G     |  0.008016|Starburst                               
3051|145.54784 +4.67313            | 0.1|NGC 2966                      |09h42m11.48s|+04d40m23.3s|G     |  0.006818|Starburst                               
3505|187.84235 +57.96465           | 0.1|NGC 4500                      |12h31m22.16s|+57d57m52.7s|G     |  0.010377|Starburst                               
3555|354.05881 +2.15502            | 0.6|NGC 7714                      |23h36m14.10s|+02d09m18.6s|G     |  0.009333|Starburst                               
3643|175.31931 +47.69078           | 0.1|NGC 3811                      |11h41m16.63s|+47d41m26.9s|G     |  0.010357|Starburst                               
3704|120.78271 +23.39186           | 0.1|NGC 2512                      |08h03m07.85s|+23d23m30.6s|G     |  0.015684|Starburst                               
3718|30.27756 +31.88247            | 0.1|NGC 0783                      |02h01m06.61s|+31d52m56.9s|G     |  0.017312|Starburst                               
3943|208.50113 -7.93065            | 0.1|NGC 5339                      |13h54m00.27s|-07d55m50.4s|G     |  0.009126|Starburst?                              
3959|350.09421 +27.31570           | 0.0|NGC 7624                      |23h20m22.61s|+27d18m56.5s|G     |  0.014260|Starburst                               
3977|186.42838 +0.57264            | 0.1|NGC 4385                      |12h25m42.80s|+00d34m21.4s|G     |  0.007138|Starburst                               
4007|177.77861 +55.07872           | 0.1|NGC 3921                      |11h51m06.87s|+55d04m43.5s|G     |  0.019667|Starburst                               
4040|125.41808 +73.98836           | 0.0|NGC 2544                      |08h21m40.34s|+73d59m18.1s|G     |  0.009433|Starburst                               
4104|45.49931 +42.58493            | 0.2|NGC 1164                      |03h01m59.85s|+42d35m05.8s|G     |  0.013926|Starburst                               
4237|150.54556 +72.12528           | 0.8|NGC 3066                      |10h02m11.07s|+72d07m31.4s|G     |  0.006835|Starburst                               
4273|29.24079 -5.40286             | 0.0|NGC 0762                      |01h56m57.79s|-05d24m10.3s|G     |  0.016341|Starburst                               
4322|162.45879 +32.98287           | 0.0|NGC 3395                      |10h49m50.11s|+32d58m58.3s|G     |  0.005420|Starburst                               
4397|352.19440 +3.51140            | 0.7|NGC 7679                      |23h28m46.70s|+03d30m41.3s|G     |  0.017139|Starburst                               
4728|24.32309 +5.87741             | 0.8|NGC 0632                      |01h37m17.53s|+05d52m39.5s|G     |  0.010567|Starburst                               
4754|39.41651 +34.43159            | 0.0|UGC 02105                     |02h37m39.96s|+34d25m53.7s|G     |  0.016395|Starburst                               
4906|44.96082 +2.77136             | 0.0|IC 0277                       |02h59m50.60s|+02d46m16.9s|G     |  0.009503|Starburst                               
5252|134.72670 +66.46832           | 0.0|UGC 04687                     |08h58m54.41s|+66d28m06.0s|G     |  0.012058|Starburst                               
5305|27.13785 +12.61383            | 0.1|UGC 01260                     |01h48m33.08s|+12d36m49.8s|G     |  0.018306|Starburst                               
5328|36.65547 +12.15534            | 0.0|NGC 0927                      |02h26m37.31s|+12d09m19.2s|G     |  0.027556|Starburst                               
5384|27.68407 +35.28453            | 0.0|NGC 0688                      |01h50m44.18s|+35d17m04.3s|G     |  0.013846|Starburst                               
5440|352.02597 +23.53144           | 1.6|NGC 7677                      |23h28m06.12s|+23d31m53.0s|G     |  0.011865|Starburst                               
5490|15.81829 +22.34265            | 0.1|NGC 0354                      |01h03m16.39s|+22d20m33.6s|G     |  0.015561|Starburst                               
5499|117.70798 +74.35768           | 0.1|UGC 04028                     |07h50m49.91s|+74d21m27.7s|G     |  0.013182|Starburst                               
5503|142.57062 +29.53998           | 0.2|NGC 2893                      |09h30m16.96s|+29d32m23.9s|G     |  0.005667|Starburst                               
6093|146.96010 +72.96439           | 0.0|NGC 2963                      |09h47m50.42s|+72d57m51.8s|G     |  0.022899|Starburst?                              
6671|111.25626 +27.32427           | 0.0|MRK 1200                      |07h25m01.50s|+27d19m27.4s|G     |  0.025978|Starburst                               
6932|338.98474 +20.32226           | 0.0|NGC 7316                      |22h35m56.34s|+20d19m20.1s|G     |  0.018523|Starburst                               
7056|349.65979 +25.23286           | 0.0|UGC 12490                     |23h18m38.35s|+25d13m58.3s|G     |  0.026969|Starburst                               
7069|153.04889 +4.92338            | 0.3|UGC 05501                     |10h12m11.75s|+04d55m24.2s|G     |  0.028410|Starburst                               
7335|214.86125 +71.58823           | 0.0|NGC 5607                      |14h19m26.70s|+71d35m17.6s|G     |  0.025334|Starburst                               
8346|152.66794 +24.41414           | 0.2|IC 2551                       |10h10m40.32s|+24d24m50.9s|G     |  0.021185|Starburst                               
