223|                              | 0.6|MESSIER 049                   |12h29m46.76s|+08d00m01.7s|G     |  0.003272|Sy 2                                    
230|202.46957 +47.19526           | 0.3|MESSIER 051a                  |13h29m52.71s|+47d11m42.6s|G     |  0.001544|Sy 2                                    
236|184.74008 +47.30372           | 1.5|MESSIER 106                   |12h18m57.50s|+47d18m14.3s|G     |  0.001494|Sy 2                                    
245|40.66988 -0.01329             | 0.9|MESSIER 077                   |02h42m40.71s|-00d00m47.8s|G     |  0.003793|Sy 2                                    
415|145.63867 -3.69914            | 0.0|NGC 2974                      |09h42m33.28s|-03d41m56.9s|G     |  0.006294|Sy 2                                    
425|                              | 0.8|MESSIER 088                   |12h31m59.16s|+14d25m13.4s|G     |  0.007609|Sy 2                                    
426|186.26575 +12.88696           | 0.5|MESSIER 084                   |12h25m03.74s|+12d53m13.1s|G     |  0.003392|Sy 2                                    
441|192.61089 +25.50076           | 0.5|NGC 4725                      |12h50m26.58s|+25d30m02.9s|G     |  0.004023|Sy 2                                    
453|                              | 0.8|NGC 1399                      |03h38m29.03s|-35d27m02.4s|G     |  0.004753|Sy 2                                    
560|259.24780 -62.82055           | 0.0|NGC 6300                      |17h16m59.47s|-62d49m14.0s|G     |  0.003699|Sy 2                                    
571|185.47896 +4.47359            | 0.8|MESSIER 061                   |12h21m54.90s|+04d28m25.1s|G     |  0.005224|Sy 2                                    
595|169.22774 +18.05181           | 0.3|NGC 3607                      |11h16m54.64s|+18d03m06.3s|G     |  0.003142|Sy 2                                    
660|309.30872 +66.10563           | 0.0|NGC 6951                      |20h37m14.09s|+66d06m20.3s|G     |  0.004750|Sy 2                                    
708|                              | 1.3|NGC 3079                      |10h01m57.80s|+55d40m47.2s|G     |  0.003723|Sy 2                                    
711|187.50945 +13.63645           | 1.2|NGC 4477                      |12h30m02.20s|+13d38m11.8s|G     |  0.004463|Sy 2                                    
740|178.23065 +36.98635           | 0.1|NGC 3941                      |11h52m55.36s|+36d59m10.8s|G     |  0.003102|Sy 2                                    
1096|155.87753 +19.86495           | 0.5|NGC 3227                      |10h23m30.58s|+19d51m54.2s|G     |  0.003859|Sy 2                                    
1365|                              | 1.5|NGC 3486                      |11h00m23.87s|+28d58m30.5s|G     |  0.002272|Sy 2                                    
1451|133.89479 +58.73441           | 0.3|NGC 2685                      |08h55m34.71s|+58d44m03.8s|G     |  0.002945|Sy 2                                    
1578|173.98877 +70.53558           | 0.0|NGC 3735                      |11h35m57.30s|+70d32m08.1s|G     |  0.008993|Sy 2                                    
1607|356.08807 +9.93409            | 0.1|NGC 7743                      |23h44m21.14s|+09d56m02.7s|G     |  0.005704|Sy 2                                    
1609|216.63867 +56.58264           | 0.1|NGC 5631                      |14h26m33.30s|+56d34m57.5s|G     |  0.006484|Sy 2                                    
1622|102.53611 +60.84575           | 0.2|NGC 2273                      |06h50m08.66s|+60d50m44.9s|G     |  0.006138|Sy 2                                    
1643|193.36386 -48.74919           | 0.0|NGC 4785                      |12h53m27.33s|-48d44m57.1s|G     |  0.012269|Sy 2                                    
1666|186.32538 +4.92506            | 0.4|NGC 4378                      |12h25m18.10s|+04d55m30.5s|G     |  0.008536|Sy 2                                    
1796|109.13010 -29.32471           | 0.2|ESO 428- G 014                |07h16m31.21s|-29d19m29.0s|G     |  0.005664|Sy 2                                    
1834|178.98869 +6.74938            | 0.2|NGC 3976                      |11h55m57.29s|+06d44m58.0s|G     |  0.008329|Sy 2                                    
1843|60.70106 +1.96573             | 1.4|UGC 02936                     |04h02m48.19s|+01d57m57.7s|G     |  0.012719|Sy 2                                    
1946|236.56822 +2.41547            | 0.3|NGC 5990                      |15h46m16.36s|+02d24m55.5s|G     |  0.012806|Sy 2                                    
1968|93.90173 +71.03753            | 0.2|UGC 03426                     |06h15m36.36s|+71d02m15.1s|G     |  0.013509|Sy 2                                    
1991|40.87518 +37.34126            | 0.6|NGC 1058                      |02h43m30.00s|+37d20m28.8s|G     |  0.001728|Sy 2                                    
2121|157.33301 +29.49144           | 1.4|NGC 3254                      |10h29m19.94s|+29d29m30.6s|G     |  0.004520|Sy 2                                    
2189|183.07834 +29.17931           | 0.4|NGC 4169                      |12h12m18.78s|+29d10m45.9s|G     |  0.012622|Sy 2                                    
2201|71.62399 +18.46091            | 1.2|UGC 03157                     |04h46m29.67s|+18d27m39.2s|G     |  0.015407|Sy 2                                    
2266|233.63496 +15.19382           | 0.2|NGC 5953                      |15h34m32.38s|+15d11m37.6s|G     |  0.006555|Sy 2                                    
2395|333.13147 +38.68277           | 0.0|UGC 11950                     |22h12m31.55s|+38d40m58.0s|G     |  0.020541|Sy 2                                    
2525|86.44950 +58.70107            | 0.0|UGC 03351                     |05h45m47.88s|+58d42m03.9s|G     |  0.014860|Sy 2                                    
2531|224.85329 -16.69347           | 0.6|NGC 5793                      |14h59m24.76s|-16d41m36.1s|G     |  0.011645|Sy 2                                    
2705|190.60526 -6.97100            | 0.0|NGC 4628                      |12h42m25.26s|-06d58m15.6s|G     |  0.009433|Sy 2                                    
2918|103.05146 +74.42698           | 0.5|IC 0450                       |06h52m12.25s|+74d25m37.5s|G     |  0.018813|Sy 2                                    
3113|113.75941 +32.82215           | 0.1|NGC 2410                      |07h35m02.26s|+32d49m19.6s|G     |  0.015614|Sy 2                                    
3303|43.96768 +9.31175             | 0.4|IC 1867                       |02h55m52.23s|+09d18m42.6s|G     |  0.025728|Sy 2                                    
3406|40.64829 +34.76351            | 0.0|NGC 1050                      |02h42m35.59s|+34d45m48.6s|G     |  0.013012|Sy 2                                    
3480|44.99421 +36.82048            | 0.6|UGC 02456                     |02h59m58.59s|+36d49m14.3s|G     |  0.012025|Sy 2                                    
3516|250.36517 +57.78363           | 0.0|NGC 6211                      |16h41m27.64s|+57d47m01.1s|G     |  0.017589|Sy 2                                    
3605|186.65039 +3.96465            | 0.2|NGC 4412                      |12h26m36.08s|+03d57m52.9s|G     |  0.007652|Sy 2                                    
3779|4.59393 +30.07958             | 0.0|NGC 0070                      |00h18m22.54s|+30d04m46.5s|G     |  0.023907|Sy 2                                    
3929|351.98627 +8.77900            | 0.3|NGC 7674                      |23h27m56.72s|+08d46m44.5s|G     |  0.028924|Sy 2                                    
3956|195.35211 +29.30844           | 0.3|NGC 4922 NED01                |13h01m24.51s|+29d18m30.1s|G     |  0.023860|Sy 2                                    
3976|311.89206 +0.41163            | 0.1|NGC 6967                      |20h47m34.10s|+00d24m41.8s|G     |  0.012569|Sy 2                                    
4020|260.85492 +56.97454           | 0.0|NGC 6370                      |17h23m25.18s|+56d58m28.3s|G     |  0.027152|Sy 2                                    
4198|4.59825 +30.06325             | 0.0|NGC 0071                      |00h18m23.58s|+30d03m47.7s|G     |  0.022339|Sy 2                                    
4306|77.08209 +17.36324            | 0.5|CGCG 468-002 NED01            |05h08m19.69s|+17d21m48.1s|G     |  0.017505|Sy 2                                    
4524|205.27388 +67.67218           | 0.5|NGC 5283                      |13h41m05.76s|+67d40m20.3s|G     |  0.010404|Sy 2                                    
4689|108.51608 +35.27928           | 0.0|UGC 03752                     |07h14m03.86s|+35d16m45.4s|G     |  0.015694|Sy 2                                    
4695|                              | 5.4|NGC 5256                      |13h38m17.50s|+48d16m37.0s|GPair |  0.027863|Sy 2                                    
4786|318.55246 +2.17799            | 0.0|IC 1368                       |21h14m12.59s|+02d10m40.8s|G     |  0.013049|Sy 2                                    
4985|30.07940 +24.47369            | 0.1|UGC 01479                     |02h00m19.06s|+24d28m25.3s|G     |  0.016435|Sy 2                                    
