588|65.00175 -54.93781            | 0.0|NGC 1566                      |04h20m00.42s|-54d56m16.1s|G     |  0.005017|Sy 1.5                                  
630|198.36473 +36.59365           | 1.3|NGC 5033                      |13h13m27.47s|+36d35m38.2s|G     |  0.002919|Sy 1.9                                  
747|                              | 1.3|NGC 7582                      |23h18m23.50s|-42d22m14.0s|G     |  0.005254|Sy 1 i                                  
761|45.30903 +44.89721            | 0.6|NGC 1161                      |03h01m14.13s|+44d53m50.4s|G     |  0.006518|Sy 1.9                                  
864|                              | 0.9|NGC 4151                      |12h10m32.58s|+39d24m20.6s|G     |  0.003319|Sy 1.5                                  
886|147.59264 +72.27865           | 0.0|NGC 2985                      |09h50m22.23s|+72d16m43.1s|G     |  0.004410|Sy 1.9                                  
1130|180.79036 +44.53126           | 0.8|NGC 4051                      |12h03m09.61s|+44d31m52.8s|G     |  0.002336|Sy 1                                    
1247|186.44508 +12.66207           | 1.1|NGC 4388                      |12h25m46.75s|+12d39m43.5s|G     |  0.008419|Sy 1 h                                  
1265|213.31209 -3.20756            | 0.2|NGC 5506                      |14h13m14.89s|-03d12m27.3s|G     |  0.006181|Sy 1 i                                  
1301|182.37411 +43.68529           | 0.1|NGC 4138                      |12h09m29.78s|+43d41m07.1s|G     |  0.002962|Sy 1.9                                  
1327|338.94263 -26.05025           | 0.9|NGC 7314                      |22h35m46.19s|-26d03m01.7s|G     |  0.004763|Sy 1 h                                  
1331|346.23605 +12.32289           | 0.0|NGC 7479                      |23h04m56.65s|+12d19m22.4s|G     |  0.007942|Sy 1.9                                  
1569|184.29126 +7.19163            | 0.4|NGC 4235                      |12h17m09.88s|+07d11m29.7s|G     |  0.008039|Sy 1.2                                  
1677|166.69789 +72.56853           | 0.2|NGC 3516                      |11h06m47.49s|+72d34m06.9s|G     |  0.008836|Sy 1.5                                  
1765|282.99780 +11.87610           | 0.1|2MASX J18515948+1152337       |18h51m59.47s|+11d52m33.9s|G     |  0.008683|Sy 1                                    
