193|                              | 1.5|MESSIER 094                   |12h50m53.06s|+41d07m13.6s|G     |  0.001027|Sy                                      
205|                              | 1.4|MESSIER 064                   |12h56m43.64s|+21d40m58.7s|G     |  0.001361|Sy                                      
493|189.20757 +13.16287           | 0.4|MESSIER 090                   |12h36m49.79s|+13d09m46.6s|G     | -0.000784|Sy                                      
555|226.62317 +55.76331           | 0.6|NGC 5866                      |15h06m29.50s|+55d45m47.6s|G     |  0.002518|Sy                                      
634|137.90627 +60.03721           | 0.1|NGC 2768                      |09h11m37.50s|+60d02m14.0s|G     |  0.004513|Sy                                      
651|71.42730 -59.24741            | 0.9|NGC 1672                      |04h45m42.50s|-59d14m49.9s|G     |  0.004440|Sy                                      
706|207.31334 +60.19041           | 0.7|NGC 5322                      |13h49m15.27s|+60d11m25.9s|G     |  0.005937|Sy                                      
727|153.56291 +3.46612            | 0.7|NGC 3169                      |10h14m15.05s|+03d27m57.9s|G     |  0.004130|Sy                                      
1249|189.91455 -5.34421            | 1.0|NGC 4593                      |12h39m39.43s|-05d20m39.3s|G     |  0.009000|Sy                                      
1371|234.90454 +59.33195           | 0.0|NGC 5985                      |15h39m37.09s|+59d19m55.0s|G     |  0.008396|Sy                                      
3125|349.56784 +6.58579            | 0.1|NGC 7591                      |23h18m16.28s|+06d35m08.9s|G     |  0.016531|Sy                                      
3884|                              | 2.4|ARP 220                       |15h34m57.12s|+23d30m11.5s|G     |  0.018126|Sy                                      
4665|48.75591 +42.03574            | 0.7|UGC 02608                     |03h15m01.42s|+42d02m09.4s|G     |  0.023343|Sy                                      
5687|339.19373 -12.54523           | 0.3|MRK 0915                      |22h36m46.50s|-12d32m42.6s|G     |  0.024109|Sy                                      
6201|21.88554 +19.17882            | 0.3|UGC 01032                     |01h27m32.55s|+19d10m43.8s|G     |  0.017385|Sy                                      
6629|340.28162 +32.16976           | 0.3|UGC 12149                     |22h41m07.59s|+32d10m11.5s|G     |  0.024407|Sy                                      
7064|273.05856 +21.88475           | 0.4|CGCG 142-019                  |18h12m14.08s|+21d53m05.4s|G     |  0.018229|Sy                                      
7225|121.02438 +5.11385            | 0.1|Phoenix Galaxy                |08h04m05.86s|+05d06m49.8s|G     |  0.013496|Sy                                      
8022|301.96167 +59.63618           | 0.3|CGCG 303-017                  |20h07m50.78s|+59d38m10.0s|G     |  0.037132|Sy                                      
14234|340.48309 +20.26147           | 0.4|MRK 0308                      |22h41m55.97s|+20d15m41.6s|G     |  0.023710|Sy                                      
14622|17.55857 +50.17534            | 0.5|CGCG 551-008                  |01h10m14.10s|+50d10m30.9s|G     |  0.023616|Sy                                      
